sample,1_01,1_02,1_03,2_01,2_02,2_03,3_01,3_02,3_03,5_01,5_02,5_03,6_01,6_02,6_03
374.3208@14.494091,27460,37548,29441,18410,29626,1,42335,56456,52641,40051,108792,70370,1,1,1
360.303@14.4925995,61586,102196,86269,49702,45746,31224,51539,51962,53774,39676,117161,60597,19301,24385,22715
524.4437@14.483215,115254,147786,171166,176542,105037,86954,106318,119084,118871,134094,99893,1,118420,173451,128429
696.4542@14.497691,75854,71633,64042,52646,42114,47504,37931,48019,22361,42659,1,36864,44685,1,39494
592.4709@14.500357,1.06E+07,9309458,9797484,4960032,5041121,4341225,3839842,2388096,4253844,2229266,2347710,1810164,4639250,1,4386187
568.4701@14.501733,1505280,1395221,1345138,1227533,1069149,1061785,1433395,1324756,1168047,1223500,836078,639851,1357155,1330511,1300627
914.5607@14.500929,65994,60629,56281,17379,1,20634,27074,30663,30377,33389,31598,43675,34613,31317,33083
670.4617@14.510714,22262,36932,25010,33236,40103,40203,43627,23938,24820,26069,1,21277,29092,38170,46951
600.4572@14.5124,93072,98380,84266,76255,69221,91539,56146,76862,83433,56772,51548,43827,88402,114397,99393
574.4599@14.512732,2466579,2574634,2472905,1983854,1906492,1689106,1650466,1649305,1579999,1305491,924053,861938,2353240,2359420,2174805
596.443@14.513499,113280,145364,118059,110820,1,98323,82216,93041,93302,76687,93760,101124,135604,130879,126452
644.4664@14.515538,39277,48940,1,42169,23803,31481,28517,38782,31368,26728,26573,1,37223,57413,35423
546.4287@14.520666,783653,867900,850326,702767,685870,589938,476307,557539,520927,571376,310868,327457,632162,752165,588135
520.4127@14.513214,2199735,2005368,2018252,1709773,1553447,1651140,1114071,1,1500394,761890,771772,659946,1677414,1883449,1295437
438.3708@14.521916,63229,61671,1,54915,60209,1,57939,64399,60592,65306,66682,80498,47801,1,50518
440.3862@14.526668,85583,80702,82828,70433,80660,72773,78533,74863,66467,74704,68482,70503,63460,61510,61714
568.4133@14.524714,38685,50083,23238,42707,27380,21397,16717,15797,27770,24495,31291,34488,31473,28153,1
508.4093@14.533,48966,1,31355,41589,52914,1,1,40874,1,36417,13650,20886,1,23405,29839
500.3865@14.533465,569558,601699,642718,496848,488386,436076,383386,424112,409723,405384,357271,175751,429389,383347,441345
1000.6327@14.539666,35855,33368,30123,34986,28168,28742,34892,35353,33469,53325,35709,28384,25918,30171,23895
476.3864@14.5458,969659,1003271,999370,905028,891750,769814,752219,818677,798700,777426,669472,709521,836101,845953,822779
578.3818@14.555584,38938,58504,37110,22395,23663,15310,1,23260,29215,22383,106030,58158,1,1,21557
452.3864@14.559867,418192,466661,473919,437066,431392,378537,385415,451018,410943,455222,347425,319362,375106,432064,381745
474.3712@14.553923,325646,348186,370165,333887,309612,274888,233475,263620,239588,230236,226534,494326,300504,1,1
956.6072@14.565333,184687,165274,161555,82717,84321,80947,134839,132254,131824,199114,131186,116168,140094,144333,127687
424.3916@14.56993,76563,120075,98366,80923,68315,52187,85717,1,135722,86965,102207,62678,95847,104407,64343
552.4392@14.558847,100662,73756,87150,95293,103904,92559,1,82330,1,79310,84476,64100,80399,28515,67006
780.4765@14.629601,25895,66746,1,76825,75001,1,1,1,1,66695,53907,73246,75269,85114,54144
496.4131@14.576934,1416461,1509562,1524070,1434021,1408555,1399064,1443506,1473197,1405193,1648257,1240408,1561994,1522988,1497657,1393413
928.5767@14.577545,44724,39462,41544,1,1,1,16043,18031,18007,20801,1,29648,19449,17820,18825
298.2874@14.570934,73440,67617,70087,110942,104381,87464,85297,105007,113087,86224,338913,180589,48777,60409,61708
336.3034@14.578,33031,40825,34642,23911,22665,15023,15180,22508,30976,15902,61563,31566,1,1,1
412.3917@14.580866,94096,146230,132756,165780,165912,108063,159104,204723,188833,157372,403853,274438,136752,160944,141881
570.4858@14.585734,341392,333177,319085,296970,314536,193620,779677,549872,748475,358446,244781,335196,386041,361574,346435
670.4665@14.592932,81205,78018,87775,56605,33872,42940,35456,32538,52707,39393,45685,34819,44751,60844,55233
602.4718@14.601,125308,123813,80135,73666,1,35972,1,55245,89150,41225,1,102801,50441,1,1
692.4544@14.608167,85741,52308,1,108709,1,1,50562,104609,52507,63707,35476,38935,69272,45616,50783
436.3558@14.600468,70811,82010,62969,57294,39960,41780,31197,40491,45919,43134,97643,70363,30962,37734,33671
464.3862@14.604728,156059,1,161097,142167,1,1,141926,128408,118459,1,116930,142930,143468,140535,143649
310.1814@14.597865,131645,111559,122533,107952,131572,173693,67291,97826,97481,60543,105044,87284,160757,74466,69576
582.486@14.607083,76629,80480,1,116142,77329,96418,1,112375,87596,67710,48427,68049,1,75662,85527
610.4812@14.615734,131363,124063,128379,108711,86809,101578,162597,162477,156353,105539,92504,104237,120496,144063,107847
626.4384@14.620153,30388,29008,40118,27151,21876,1,33233,32735,1,41040,50436,43713,34018,33188,24862
616.468@14.620533,1635659,1370163,1560401,1307239,1127942,928470,1143335,976312,954349,1260669,643735,794746,1053672,1146400,881286
698.4704@14.6228,189584,187634,199845,175257,175118,181265,180145,160190,155909,150089,148225,131333,208155,157728,128814
703.4243@14.628715,105240,104669,116566,91607,71159,44808,55327,71684,62047,50629,50361,1,77221,75407,75531
1014.6499@14.622666,29791,27713,22798,37506,31025,26956,36929,35818,31755,50317,31126,30731,21629,26215,18153
664.49@14.625091,141209,91512,150696,98920,127760,1,104207,1,1,75764,76918,1,67921,125351,68810
522.4286@14.631364,1220328,1,1,1319655,1323910,920757,1183735,1301780,1,1183811,1118990,1068093,1355261,1032363,1
594.4852@14.628066,3.88E+07,3.07E+07,3.80E+07,2.79E+07,2.66E+07,1.92E+07,2.84E+07,2.20E+07,2.11E+07,1.99E+07,1.53E+07,1.75E+07,2.72E+07,2.70E+07,1.84E+07
638.4944@14.626845,666454,1,663020,411835,422187,384350,429068,455814,1,279743,208265,261588,433109,407224,396779
690.4889@14.629928,203983,1,207139,232629,179180,172405,260255,183967,183571,175855,126711,157014,201545,229131,183506
454.4023@14.6342,76990,91068,93451,91088,92733,63209,70313,87865,88762,74343,83672,63762,72918,69386,71101
694.4094@14.638229,254884,179087,102744,140980,99996,83605,147240,125372,1,45936,30526,1,103461,76414,91744
1210.951@14.632916,254813,122221,252768,1,135309,51782,101831,68998,63401,50269,1,1,93156,86226,142158
677.4107@14.62691,95510,57393,49743,71304,34946,1,56126,1,34005,24777,1,1,43285,57910,26223
554.489@14.645356,66662,79212,78610,65353,1,48385,84891,97124,86828,53017,56836,69320,74778,76936,76886
496.2862@14.634866,166702,132965,135358,143702,138407,131578,124606,133077,129221,134114,92706,136320,152799,158019,130747
502.4026@14.641666,1641376,1809504,1714914,1406306,1499196,1133108,1109733,1344809,1153997,1023784,1032298,1046620,1311877,1455780,1323254
570.2808@14.638799,51842,64831,36676,39749,44254,42039,28095,46624,53831,100867,199281,152542,42307,36746,35229
622.499@14.642385,188419,174597,1,175839,157044,35544,182902,209932,1,156245,113523,147234,207712,174384,233876
572.4442@14.6468,936392,896197,877466,517227,527816,388132,381457,499403,428982,366207,342411,377491,631147,726240,644679
592.398@14.657213,48882,79374,44582,61062,65525,35863,37685,58830,67070,45249,1,132071,27669,32936,32377
970.6225@14.658769,23512,21494,21795,11100,1,1,17766,14060,17910,26639,21868,26229,19008,17530,17693
478.4021@14.658,391166,417657,1,379302,370654,203552,332778,1,300149,337626,312364,341169,1,258298,75160
498.4269@14.658467,48934,54707,57469,49279,53084,48327,67435,62864,55984,48073,41476,57866,53981,57280,49565
420.3604@14.665085,14248,21612,1,16124,12458,1,13824,18040,24263,1,26983,22303,12588,14413,15552
942.5922@14.670267,35589,34123,32113,12513,15312,12873,19052,20890,21511,17013,17936,30859,17326,16538,17057
732.5418@14.680155,25424,1,1,42291,35699,19389,49183,73605,84902,57366,261182,137753,28770,36965,38886
557.3388@14.683214,267509,233631,183698,247684,219628,1,345011,344737,297184,257296,184980,248411,508155,488012,426053
606.4142@14.686643,24340,48095,22799,32704,35709,22030,27947,35841,46813,36795,128021,92801,1,20872,21086
