Sample,1_01,1_02,1_03,2_01,2_02,2_03,3_01,3_02,3_03,5_01,5_02,5_03,6_01,6_02,6_03
262.1313@3.7171996,73300,66839,70571,31037,61382,66482,58471,53498,61230,59653,49649,56397,42152,52102,42313
484.351@3.7485,55913,1,59581,40693,1,43334,44500,23979,35518,1,17991,43103,38041,25073,27377
346.0049@3.763357,235735,209081,229691,227235,208897,236697,225448,217692,227596,1,156565,207818,182463,197321,197175
406.0251@3.7624002,56292,48940,64746,53064,52718,60231,56567,49708,55227,55928,37538,47004,46477,51317,48945
285.9838@3.7595332,127341,131516,136507,135308,120523,145874,122861,120087,125595,131118,95912,133453,110970,61291,117058
108.0573@3.7573075,31609,1,50729,46719,48642,23335,53172,53369,33329,49996,37974,54913,22832,45629,1
186.0886@3.7653334,529258,1,499991,1,198262,188415,289745,1,343429,281394,301036,177680,255890,269974,246249
204.0993@3.7799335,1272368,1246734,1347614,104968,488711,482921,689661,725770,905254,707444,781998,430630,254526,680497,654354
317.0327@3.7890909,98798,92561,94223,40653,37493,1,62484,51841,43462,31877,1,19086,29622,1,1
194.1051@3.9329283,76248,78272,78181,109186,86500,99231,129466,127093,136951,1,38836,74821,108075,109852,112547
180.0645@3.9422667,1589312,1308471,1502123,2745968,2674128,2812524,899336,815952,722436,1577813,1198657,1514760,2497880,2679480,2595822
238.1412@3.954273,1,107166,143387,109700,61680,1,79144,1,69911,192292,53263,227329,79238,1,131050
281.9999@4.1020665,250591,204885,213612,199845,182151,190307,205634,192510,192656,219267,152893,204993,193908,200003,185963
244.1783@4.144,121548,101488,112113,113186,107754,117092,85854,85219,77506,1,1,51775,1,1,22214
315.204@4.1668673,253534,275783,279974,135334,188991,180924,177363,175500,165224,58365,53434,175414,172349,138055,160983
180.0645@4.1858664,567485,531026,566927,648701,639008,681451,283260,260040,268807,425523,320276,414458,553909,588105,571757
210.0862@4.2014165,143138,126633,136768,42601,1,1,1,50391,44525,70556,55477,70891,63181,81917,81651
216.0991@4.4906425,94322,112771,75939,97056,1,66626,102505,91014,91299,162689,65619,90753,111837,119554,101096
271.1777@4.5184,1,18819,1,24834,25603,26121,1,22127,23704,1,18983,23372,20843,18256,1
259.1779@4.555857,53168,46844,37894,70962,51621,58138,61728,55894,53415,59233,34887,27145,29772,33395,1
221.0682@4.633,39276,1,1,44463,1,49720,49680,1,42374,45603,32740,28336,51758,54058,1
196.1204@4.623929,65256,53406,52643,168729,144758,152025,169653,149875,137724,77612,1,52137,122640,128730,106373
129.0573@4.643,67723,72835,59167,1,58904,1,1,1,62169,1,42725,50549,74356,73745,86411
145.0523@4.6381536,170099,156007,148480,165908,1,175999,126327,1,168442,149270,113849,130260,177982,174443,209230
186.0886@4.685266,302533,283244,308586,38073,133878,158225,205441,202391,175154,280015,154878,352381,79411,285231,85417
297.0888@4.8281817,16824,16860,16502,31580,30834,32470,1,1,18761,58054,56696,63447,1,1,21711
230.1152@4.8286366,111922,90605,100014,1,46576,53078,70086,64698,1,57228,1,52692,59123,59777,1
317.0337@4.9206,43635,34737,1,1,1,1,18310,17528,1,16128,17077,31189,21052,24638,21751
204.0994@4.922143,665783,619615,630121,195232,200178,237879,270291,1,237341,249134,249163,542060,343402,349127,342457
136.0518@4.9248,149453,138091,147499,54199,48928,76483,1,1,1,74595,70783,137136,98630,1,1
186.0886@4.924866,348273,311256,315499,100695,117407,120818,147638,122233,118326,127662,147416,274276,182827,166402,183585
152.0832@4.9776,314425,301614,317543,84433,48055,105730,182311,81652,212390,247121,129251,76842,137491,160065,254393
110.0368@4.981272,170101,150054,188937,1,52668,1,51173,1,63758,1,32665,85338,65439,63677,66911
142.0625@4.9813337,389976,341555,409385,66612,94728,121871,100879,107562,136551,50546,74868,154716,151259,122584,157760
160.0732@4.982267,1078530,943707,1195299,167747,247755,277858,286524,265836,325236,124574,184042,448105,392769,359162,409844
273.0058@4.981636,65500,58450,65162,1,18905,13817,14588,1,18538,1,1,26391,25566,22184,21396
186.0886@5.1069994,599194,503265,504213,788283,695461,222304,333878,998156,1017045,375935,241882,300498,875182,346277,899643
299.022@5.1156664,87374,75453,83456,32752,31625,30174,44716,42897,40054,40229,30429,39274,38237,41845,36493
231.1469@5.113333,70798,109165,79369,26863,49431,38181,48915,46228,37258,45470,32558,39456,44645,38158,36869
140.0832@5.1142855,122580,114086,117424,48162,49179,47976,68541,1,67872,69200,48250,68658,60614,61885,66379
122.0729@5.1158,190284,179399,181476,71697,71623,83188,103825,94990,109702,102838,72766,102321,92316,90057,82389
284.0602@5.115267,96412,85338,107925,37677,34511,43822,47002,47170,48971,48720,35837,54624,41593,50314,42010
246.121@5.1155715,251739,221822,211950,95733,88821,102838,134987,122606,131381,128550,1,128221,111414,112512,104227
278.1627@5.11,632201,560401,590916,1514980,1455240,1521401,1428750,1424987,1444276,147408,99895,136326,152454,144453,137053
252.1567@5.169857,66404,79261,82430,45866,44553,57343,49207,56513,55955,33518,1,29584,57244,66907,93452
186.0886@5.2459993,25171,76634,1,37476,30303,34129,60154,47936,45144,76036,45507,51555,51797,54590,1
223.0483@5.275385,418047,154303,544109,750097,519487,454431,624466,844482,301773,1,1,211330,627907,467510,1141612
904.4774@5.3538,2608275,2130793,2340917,2849113,2721348,2721523,1978610,1935279,2007136,540863,249711,449067,816939,816705,798291
226.0813@5.3736005,141369,1,83341,29783,30667,1,1,34552,41578,43304,1,52687,44583,1,42082
316.1993@5.395467,642902,578833,594718,200956,192123,212466,263152,258361,268844,308534,214504,301382,291496,290058,284479
145.0523@5.4428005,228742,203112,247093,220329,186625,222051,282897,263845,281574,156556,121549,174422,197218,183302,190179
175.0629@5.4452667,228049,171021,188592,175524,155867,165627,212444,187564,198091,156946,107187,140477,163722,172162,110992
129.0575@5.4446,516571,446829,444498,410328,377287,401720,540359,511183,540172,366461,272650,339964,390236,381288,399018
506.2009@5.4853563,127207,99393,112102,102381,103953,119272,80023,74573,79017,33437,1,30803,34358,31751,37134
317.1736@5.497667,1,24132,31654,41143,35309,41244,35279,34839,33256,32559,1,33594,32628,32945,1
780.3921@5.5104,1,1,12342,1,1,1,19106,21586,20196,188158,89782,158560,136181,141832,141110
351.1578@5.5552664,319435,280307,278329,366334,342392,338414,424077,405816,398412,212024,148785,191749,231840,245162,232046
312.1466@5.57,1.65E+07,1.44E+07,1.53E+07,1.87E+07,1.78E+07,1.85E+07,1.75E+07,1.73E+07,1.75E+07,4047942,2897451,3777204,4676590,4884156,4788681
182.0934@5.6669164,73974,86301,80034,22561,23105,1,47569,41789,56611,28435,1,22098,1,34327,43492
470.216@5.767266,168284,152378,161647,81758,81321,78746,60717,54149,61335,35132,27384,37864,87461,87930,86135
292.0478@5.7723336,63031,54941,56759,79913,76246,87625,42587,42704,41280,52273,27382,41830,95378,103860,100739
